Sensor at x=2288642, y=2282562: closest beacon is at x=1581951, y=2271709
Sensor at x=2215505, y=2975419: closest beacon is at x=2229474, y=3709584
Sensor at x=275497, y=3166843: closest beacon is at x=-626874, y=3143870
Sensor at x=1189444, y=2115305: closest beacon is at x=1581951, y=2271709
Sensor at x=172215, y=2327851: closest beacon is at x=-101830, y=2000000
Sensor at x=3953907, y=1957660: closest beacon is at x=2882446, y=1934422
Sensor at x=685737, y=2465261: closest beacon is at x=1581951, y=2271709
Sensor at x=1458348, y=2739442: closest beacon is at x=1581951, y=2271709
Sensor at x=3742876, y=2811554: closest beacon is at x=3133845, y=3162635
Sensor at x=437819, y=638526: closest beacon is at x=-101830, y=2000000
Sensor at x=2537979, y=1762726: closest beacon is at x=2882446, y=1934422
Sensor at x=1368739, y=2222863: closest beacon is at x=1581951, y=2271709
Sensor at x=2743572, y=3976937: closest beacon is at x=2229474, y=3709584
Sensor at x=2180640, y=105414: closest beacon is at x=3011118, y=-101788
Sensor at x=3845753, y=474814: closest beacon is at x=3011118, y=-101788
Sensor at x=2493694, y=3828087: closest beacon is at x=2229474, y=3709584
Sensor at x=2786014, y=3388077: closest beacon is at x=3133845, y=3162635
Sensor at x=3593418, y=3761871: closest beacon is at x=3133845, y=3162635
Sensor at x=856288, y=3880566: closest beacon is at x=2229474, y=3709584
Sensor at x=1757086, y=2518373: closest beacon is at x=1581951, y=2271709
Sensor at x=2853518, y=2939097: closest beacon is at x=3133845, y=3162635
Sensor at x=1682023, y=1449902: closest beacon is at x=1581951, y=2271709
Sensor at x=3360575, y=1739100: closest beacon is at x=2882446, y=1934422
Sensor at x=2904259, y=1465606: closest beacon is at x=2882446, y=1934422
Sensor at x=3078500, y=3564862: closest beacon is at x=3133845, y=3162635
Sensor at x=2835288, y=1011055: closest beacon is at x=2882446, y=1934422
Sensor at x=2998762, y=2414323: closest beacon is at x=2882446, y=1934422
